LOAN_ID,CIVILIAN_NONINSTITUTIONAL_POPULATION,EMPLOYMENT,EMPLOYMENT_POPULATION_RATIO,LABOR_FORCE,LABOR_FORCE_PARTICIPATION_RATE,UNEMPLOYMENT,UNEMPLOYMENT_RATE
140707596,4615678.0,101504.8476821192,65.45,104120.22516556291,67.25,2615.3774834437086,2.411258278145695
145561591,4506341.0,120132.41911764706,66.75,124105.29411764706,68.94999999999999,3972.875,3.197058823529412
145350554,4801172.0,98005.80208333333,61.65,101098.78125,63.599999999999994,3092.9791666666665,3.1723958333333333
144060563,5651475.0,251695.04615384617,58.7,263999.9846153846,61.650000000000006,12304.938461538462,5.7784615384615385
145116527,1.0012732E7,168001.50522648083,61.75,175687.0592334495,64.55000000000001,7685.554006968641,4.8567944250871085
144943041,5974369.0,230960.27966101695,61.55,241914.28813559323,64.5,10954.00847457627,5.407627118644068
140325765,2286101.0,40397.969696969696,52.7,42313.01515151515,55.25,1915.0454545454545,5.081818181818181
139073991,1.0267051E7,193036.78494623656,60.1,200962.0,62.6,7925.215053763441,3.9155913978494623
139872224,5952610.0,230287.15254237287,61.55,240023.83050847458,64.25,9736.677966101695,4.264406779661017
145082346,1.7292525E7,343138.18957345973,57.15,355053.7488151659,59.15,11915.559241706162,3.571563981042654
144884629,1.7292525E7,343138.18957345973,57.15,355053.7488151659,59.15,11915.559241706162,3.571563981042654
139852836,1.0016704E7,168247.28222996515,61.75,175188.3205574913,64.35,6941.038327526132,4.113588850174216
144935034,1.0271058E7,193465.688172043,60.2,201189.79032258064,62.65,7724.102150537635,3.9919354838709675
144886767,1.7292525E7,343138.18957345973,57.15,355053.7488151659,59.15,11915.559241706162,3.571563981042654
144689951,3854051.0,75993.76388888889,55.9,78713.79166666667,57.95,2720.027777777778,3.738194444444445
144734277,1.7292525E7,343138.18957345973,57.15,355053.7488151659,59.15,11915.559241706162,3.571563981042654
143772625,4406500.0,104637.19526627219,67.85,107961.31360946746,70.1,3324.1183431952663,3.7053254437869825
140237759,1.7235903E7,342820.981042654,57.2,354779.7867298578,59.2,11958.805687203792,3.484834123222749
140319884,1.9544434E7,375603.0798969072,59.975,391039.20360824745,62.7,15436.123711340206,4.175515463917526
139472640,1.0016704E7,168247.28222996515,61.75,175188.3205574913,64.35,6941.038327526132,4.113588850174216
139794410,1105424.0,6540.975438596492,60.9,6727.926315789474,62.75,186.95087719298246,3.1538596491228073
144957384,5974369.0,230960.27966101695,61.55,241914.28813559323,64.5,10954.00847457627,5.407627118644068
139799159,5952610.0,230287.15254237287,61.55,240023.83050847458,64.25,9736.677966101695,4.264406779661017
144984100,2286784.0,40547.07575757576,52.75,42590.42424242424,55.5,2043.3484848484848,5.471212121212121
139691858,5336029.0,103856.07514450866,59.0,107503.15028901734,61.1,3647.0751445086707,3.6508670520231217
144860997,448728.0,29583.410256410258,62.400000000000006,30699.76923076923,64.8,1116.3589743589744,3.56923076923077
143755628,5651475.0,251695.04615384617,58.7,263999.9846153846,61.650000000000006,12304.938461538462,5.7784615384615385
144728771,5974369.0,230960.27966101695,61.55,241914.28813559323,64.5,10954.00847457627,5.407627118644068
144713419,4506341.0,120132.41911764706,66.75,124105.29411764706,68.94999999999999,3972.875,3.197058823529412
139595226,1.9544434E7,375603.0798969072,59.975,391039.20360824745,62.7,15436.123711340206,4.175515463917526
141100990,1453515.0,40635.04494382023,51.55,42597.33707865168,54.150000000000006,1962.2921348314608,4.691011235955056
139181722,5952610.0,230287.15254237287,61.55,240023.83050847458,64.25,9736.677966101695,4.264406779661017
138547071,4487838.0,120194.36029411765,66.94999999999999,124037.4044117647,69.1,3843.044117647059,2.961764705882353
139439736,1.0264542E7,192516.80107526883,60.0,201554.87096774194,62.7,9038.069892473119,4.560215053763441
138337752,1.1226269E7,427757.21463414637,57.9,445835.0,60.400000000000006,18077.78536585366,3.9258536585365853
138144931,5213803.0,94600.07692307692,62.6,98153.63736263737,64.95,3553.5604395604396,3.684065934065934
140903660,1.7235903E7,342820.981042654,57.2,354779.7867298578,59.2,11958.805687203792,3.484834123222749
144583158,7067580.0,152241.5693430657,60.650000000000006,157848.66423357665,62.9,5607.094890510949,3.654014598540146
139107034,8113343.0,99910.18253968254,60.150000000000006,103646.17857142857,62.4,3735.996031746032,3.8845238095238095
144718606,862607.0,68310.22448979592,62.05,70797.12244897959,64.35,2486.8979591836733,3.577551020408163
139612253,1.122422E7,427864.18536585366,58.0,444331.6,60.35,16467.414634146342,3.557073170731707
144670183,4621564.0,101020.74834437086,65.1,103901.01324503311,67.05,2880.264900662252,2.9874172185430465
141046324,1.0016704E7,168247.28222996515,61.75,175188.3205574913,64.35,6941.038327526132,4.113588850174216
139493652,5336029.0,103856.07514450866,59.0,107503.15028901734,61.1,3647.0751445086707,3.6508670520231217
140796700,1.9544434E7,375603.0798969072,59.975,391039.20360824745,62.7,15436.123711340206,4.175515463917526
140760031,7064945.0,150556.15328467154,60.15,156456.62773722628,62.5,5900.474452554745,3.826277372262773
139384334,5616586.0,66776.585,65.65,69015.93,67.9,2239.345,3.0444999999999998
145201808,8187848.0,125854.63720930232,58.8,130958.77209302326,61.25,5104.13488372093,4.271627906976744
